Asset,PhemexFutures,KucoinSpot,LastPrice,LastDate,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,Analysed,Note
1000REEFUSDPERP,1,1,4.795,19.09.2022,55.022548,4.31035,4.19992,,0.188514,UP_TREND,BULLISH,MEDIUM,,
CHZUSDPERP,1,1,0.2534,19.09.2022,67.424283,0.208355,0.193482,0.166861,0.168759,STRONG_UP_TREND,BULLISH,MEDIUM,,
APEUSDPERP,1,1,5.865,19.09.2022,58.190232,4.967,5.6469,,0.301694,UP_TREND,BULLISH,HIGH,,
XRPUSDPERP,1,1,0.3851,19.09.2022,61.061891,0.344415,0.353888,0.489481,0.189,UP_TREND,BULLISH,MEDIUM,,
ASTRUSDPERP,1,1,0.0354,19.09.2022,40.260049,0.037055,0.041356,,0.398748,DOWN_TREND,BEARISH,HIGH,,
LINKUSDPERP,1,1,7.315,19.09.2022,48.71297,7.3526,7.55772,9.456705,0.241121,STRONG_DOWN_TREND,BEARISH,MEDIUM,,
INJUSDPERP,1,1,1.573,19.09.2022,47.729557,1.60855,1.65856,,0.295596,DOWN_TREND,BEARISH,MEDIUM,,
COMPUSDPERP,1,1,51.85,19.09.2022,49.012256,51.2775,54.235,77.3115,0.355693,DOWN_TREND,BEARISH,HIGH,,
ATOMUSDPERP,1,1,15.604,19.09.2022,58.708085,14.1607,12.45206,15.395905,0.204533,STRONG_UP_TREND,BULLISH,MEDIUM,,
C98USDPERP,1,1,0.392,19.09.2022,43.640731,0.422425,0.45725,,0.270351,DOWN_TREND,BEARISH,MEDIUM,,
XLMUSDPERP,1,1,0.1118,19.09.2022,53.245692,0.107225,0.1124,0.14381,0.187491,DOWN_TREND,BULLISH,MEDIUM,,
1000HOTUSDPERP,1,1,2.026,19.09.2022,45.071249,2.0755,2.26118,,0.201719,DOWN_TREND,BEARISH,MEDIUM,,
COTIUSDPERP,1,1,0.0939,19.09.2022,47.487714,0.09467,0.102162,,0.204567,DOWN_TREND,BEARISH,MEDIUM,,
1000000NFTUSDPERP,1,1,0.549,19.09.2022,41.302421,0.5719,0.5954,,0.180868,DOWN_TREND,BEARISH,MEDIUM,,
GOLDUSDPERP,1,1,1669.9,19.09.2022,34.784876,1698.9375,1737.351,1831.6095,0.032467,STRONG_DOWN_TREND,BEARISH,LOW,,
1INCHUSDPERP,1,1,0.5955,19.09.2022,41.587453,0.6377,0.71219,,0.239826,DOWN_TREND,BEARISH,MEDIUM,,
