Ticker,Description,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,Volatility
SWEATUSDT,Sweat Economy / Tether,-13.34608593,,,636.125,636.125,636.125,636.125,20.76816128
COMBUSDT,COMBO / Tether,-19.25566343,167.20142602,192.95499022,109.66386555,-4.34504792,-46.26704953,-73.8697853,47.59887006
PSLUSDT,Pastel / Tether,-7.89177001,152.94117647,96.86746988,23.22775264,-30.46808511,-30.46808511,-30.46808511,19.07407407
KATUSDT,Kambria / Tether,-2.15612213,25.58327442,130.72926331,75.29959115,-35.77479339,-55.79808034,-69.64355469,6.34309623
PLGRUSDT,Pledge / Tether,-45.80774175,66.76923077,62.83261803,73.1629393,-93.62352941,-99.2412,-99.2412,131.54273617
NEERUSDT,Metaverse.Network & Bit.Country / Tether,-10.11108592,56.28695309,4.12289916,32.16666667,32.16666667,32.16666667,32.16666667,13.19321347
DIVIUSDT,Divi / Tether,0.08123477,50.79559364,68.42105263,-9.54478708,-61.40955364,-67.76978417,-37.68335862,5.59183673
EOS3SUSDT,EOS 3x Short / Tether,6.38617581,44.63738509,-49.00972272,-96.78306109,-94.37983727,-93.88151925,-92.52060004,9.15860015
FKXUSDT,FortKnoxster / Tether,-3.09256513,25.20525452,71.47676162,151.23558484,12.96296296,-39.9527497,-14.0037594,4.78817299
SRBPUSDT,Super Rare Ball Portion / Tether,-0.08841342,32.90015289,105.37028623,555.10144928,555.10144928,555.10144928,555.10144928,0.16371681
SUSHI3SUSDT,SUSHI 3x Short / Tether,7.22880984,34.3901365,-42.57761054,-89.65099226,-95.2829168,-67.86861083,-87.96589285,8.04495973
DAPPTUSDT,Dapp.com / Tether,2.46760408,45.4029734,51.3232899,29.81138666,-67.62630662,-79.45550028,-67.91972378,7.00831025
CMPUSDT,Caduceus / Tether,-1.52514427,,,43.6560433,43.6560433,43.6560433,43.6560433,3.88556789
AAVE3SUSDT,AAVE 3x Short / Tether,4.15512465,36.23188406,0.53475936,-97.86363636,-98.81946625,-98.91683231,-99.25525383,6.1281337
REEFUSDT,Reef / Tether,-2.30810521,41.85502728,47.36842105,63.76724655,-39.66850829,-70.11494253,-74,6.49887303
ETH3SUSDT,ETH 3x Short / Tether,7.62393162,40.97626511,-10.99802092,-92.31295175,-65.292172,-70.01333587,-89.13771091,10.97060834
XNLUSDT,Chronicle / Tether,7.58440323,32.46487119,33.48082596,34.8733234,-58.33333333,-88.16993464,-95.85888167,36.61202186
SHILLUSDT,Project SEED / Tether,5.93047035,27.90123457,26.23883022,28.64238411,-74.16458853,-93.28,24.32,12.02618884
AGIXUSDT,SingularityNET Token / Tether,0.10051935,23.88554841,40.42303173,32.48337029,-33.2774986,-70.56650246,-85.08747847,9.35338866
DOT3SUSDT,DOT 3x Short / Tether,2.31578947,25.20395019,-13.03310468,-63.91684541,-63.05119108,-64.31281361,-90.64385027,4.32293492
LTC3SUSDT,LTC 3x Short / Tether,3.94939306,23.17666126,-33.32602259,-63.27171681,-27.2117802,-41.81261365,-72.19681727,13.34126445
ROSNUSDT,Roseon Finance / Tether,0.40700041,27.09943328,36.22308117,53.22981366,-77.6337262,-92.09801409,-86.15600449,3.58890701
H3RO3SUSDT,H3RO3S / Tether,26.75438596,23.5042735,29.01785714,-30.86124402,-81.08638743,-92.58974359,-71.1,117.82608696
JASMY3SUSDT,JASMY 3x Short / Tether,0.8762584,28.67920342,-21.73685675,-46.68888251,-10.63296991,-10.63296991,-10.63296991,3.3471667
UNI3SUSDT,UNI 3x Short / Tether,0.43238049,15.865318,-14.92522128,-95.32509644,-95.60662421,-91.74384392,-91.6733881,3.47314025
AVAX3SUSDT,AVAX 3x Short / Tether,0.10709505,26.78874195,-4.81160896,-87.65762197,-13.04651163,-68.59302814,-96.27404086,6.81244743
GMT3SUSDT,GMT 3x Short / Tether,2.13558836,18.47049044,-31.86729133,-81.4798451,-94.1207531,-94.1207531,-94.1207531,10.1260126
REVUUSDT,Revuto / Tether,-3.64741641,21.92307692,44.61678832,-36.77702433,-64.38202247,-73.58333333,-73.58333333,5.07824976
